Date,Open,High,Low,Close,Adj Close,Volume
2020-04-01,253.00,255.89,240.35,243.91,243.91,20338400
2020-04-02,245.62,249.38,241.05,248.16,248.16,14282600
2020-04-03,245.55,247.95,242.26,243.78,243.78,11092700
2020-04-06,255.29,264.65,254.58,263.60,263.60,19186000
2020-04-07,271.57,272.48,259.38,262.97,262.97,19814900
2020-04-08,265.39,270.00,262.69,269.85,269.85,15056300
2020-04-09,272.75,275.00,268.55,274.33,274.33,15382300
2020-04-13,270.90,275.69,269.01,269.85,269.85,11872000
2020-04-14,277.00,284.50,274.41,283.95,283.95,18704900
2020-04-15,281.32,286.61,279.09,284.01,284.01,11764700
2020-04-16,287.99,294.95,286.81,289.59,289.59,18459000
2020-04-17,296.44,298.00,291.88,297.08,297.08,16929100
2020-04-20,291.29,298.93,290.08,297.52,297.52,12532400
2020-04-21,290.92,291.34,275.80,277.52,277.52,17253800
2020-04-22,285.73,287.73,282.05,286.15,286.15,14136900
2020-04-23,287.00,288.31,281.12,284.01,284.01,12181400
2020-04-24,286.45,290.98,285.77,289.59,289.59,11639300
2020-04-27,293.67,298.00,292.99,297.08,297.08,15149600
2020-04-28,301.86,302.76,290.31,292.28,292.28,16780800
2020-04-29,296.88,302.73,296.42,301.21,301.21,12614000
2020-04-30,299.43,299.80,290.08,292.29,292.29,12695900
2020-05-01,284.00,290.00,281.19,282.78,282.78,13316000
2020-05-04,280.00,287.42,277.91,287.05,287.05,10316800
2020-05-05,290.90,297.00,290.67,295.85,295.85,13064000
2020-05-06,298.93,300.89,295.26,299.32,299.32,12334000
2020-05-07,303.40,306.08,298.89,305.63,305.63,15179500
2020-05-08,311.00,312.70,306.76,312.50,312.50,16891600
2020-05-11,312.28,322.83,311.23,322.62,322.62,16294300
2020-05-12,325.00,327.45,310.25,312.09,312.09,20053200
2020-05-13,311.29,315.99,297.44,302.92,302.92,18470300
2020-05-14,300.00,304.99,296.11,303.89,303.89,16106300
2020-05-15,302.92,339.00,302.75,339.00,339.00,38233200
2020-05-18,341.75,358.30,341.70,352.22,352.22,27040100
2020-05-19,349.99,352.48,339.77,344.09,344.09,17624500
2020-05-20,350.10,361.05,347.46,358.80,358.80,20423500
2020-05-21,359.05,361.56,346.15,351.01,351.01,23429300
2020-05-22,349.88,366.77,349.31,361.05,361.05,29564000
2020-05-26,366.00,366.91,350.41,352.23,352.23,21427300
2020-05-27,349.91,350.54,343.07,348.71,348.71,15868900
2020-05-28,344.97,349.39,339.05,339.48,339.48,15008300
2020-05-29,342.69,344.99,336.67,344.10,344.10,15840700
2020-06-01,347.78,353.90,347.11,352.98,352.98,11295700
2020-06-02,357.77,363.72,356.40,359.83,359.83,15176000
2020-06-03,360.00,365.19,358.10,362.74,362.74,13257600
2020-06-04,361.89,367.27,358.22,359.42,359.42,13275600
2020-06-05,363.88,366.90,355.31,362.05,362.05,13808200
2020-06-08,366.26,371.70,362.78,370.46,370.46,14396400
2020-06-09,368.00,369.22,361.01,366.41,366.41,12656500
2020-06-10,370.13,378.00,367.50,375.86,375.86,15978700
2020-06-11,365.92,371.91,358.00,360.82,360.82,17061500
2020-06-12,367.24,370.87,357.00,369.42,369.42,15000800
2020-06-15,364.45,370.00,361.66,369.43,369.43,10992100
2020-06-16,375.82,375.82,366.30,372.71,372.71,14771600
2020-06-17,374.93,380.88,373.81,379.35,379.35,13620800
2020-06-18,378.60,384.89,376.40,381.07,381.07,12823300
2020-06-19,383.01,383.70,377.92,378.00,378.00,17662900
2020-06-22,379.18,381.75,375.21,381.46,381.46,11373800
2020-06-23,381.49,384.96,376.79,377.70,377.70,12180600
2020-06-24,375.96,378.15,367.82,371.40,371.40,12847100
2020-06-25,370.68,375.99,367.27,375.67,375.67,11221100
2020-06-26,375.88,375.94,365.34,367.40,367.40,16497700
2020-06-29,369.67,380.30,368.24,380.10,380.10,11772400
2020-06-30,381.35,386.25,377.65,379.73,379.73,14876200
2020-07-01,381.85,384.44,376.52,380.55,380.55,11050900
2020-07-02,383.35,384.45,378.13,384.33,384.33,8599500
2020-07-06,387.54,392.35,386.99,391.90,391.90,10529700
2020-07-07,392.83,399.36,388.55,394.97,394.97,13397700
2020-07-08,400.11,408.77,399.03,408.09,408.09,15383400
2020-07-09,407.01,422.11,406.75,417.32,417.32,22476300
2020-07-10,415.05,419.66,408.45,415.09,415.09,15791500
2020-07-13,418.18,426.16,410.83,414.64,414.64,20450400
2020-07-14,411.55,419.98,406.75,417.61,417.61,14396000
2020-07-15,425.01,431.70,419.67,420.66,420.66,20533700
2020-07-16,417.76,420.31,410.21,413.14,413.14,13063900
2020-07-17,415.09,422.65,411.50,420.35,420.35,13096600
